total
427000
701100
1236900
1331900
1469900
1357100
1377200
1225100
1146900
1062000
1251100
1079700
819500
858300
1012200
1072000
865100
1249000
988400
830500
1216600
1313200
981800
1089100
1091200
1113900
1223700
1060400
713300
1225800
1464900
1298900
1800900
1746100
1651000
1296700
1522700
1352700
1265700
1084300
915400
1330100
825200
